cancel vt.取消
abrupt a.突然的，意外的，粗鲁
pollution n.污染
salary n.薪金，薪水
spontaneous adj．自发的，自然的
pretend vi.假装，装作
pick v.拾起，采集；挑选
gloomy adj．阴暗的，没有希望的
energy n.活力；精力；能
deference n．敬意，尊重
not...any more.不再
compassionate adj.有同情心的
nonviolent adj．不使用暴力的，非暴力的
protective a.保护的，防护的
resurgent adj．再起的，复活的．
grandiloquent adj（语言等）夸张的，夸大的
bogus adj．假装的，假的
role n.角色
glade n．林中的空地
upholstery n．室内装潢品（地毯，窗帘等）
fearless a.无畏的，大胆的
roll v.滚动,打滚n.面包圈，小圆面包；卷状物
I pron.我
turn v.旋转，翻转，转变，转弯n.轮流，（轮流的）顺序
disciplinarian n．严行纪律的人，严师
gold n.黄金a金的，黄金的
result n.结果，效果
golf n.高尔夫球
pier n．桥墩，码头
selfish a.自私的
evaporate vt.使蒸发vi.蒸发
after ad.在后；后来prep.在…之后；在后面conj.在…以后
staircase n.楼梯，楼梯间
nibble v．一点点地咬，慢慢啃
barricade v.n.设栅阻挡,栅栏
resume v．重新开始，继续
a art.一（个、件……）
garland n（作为胜利标志的）花环，奖品
f f(缩)“＝”female(或“＝”foot,feet)[ef]n.女(的)；雌(的)；英尺
posture n.姿势,姿态,心态,态度v.作出某种姿势
artistic a.艺术的；艺术家的
pied adj．杂色的
neighbor n.(neighbour)邻居
gripping adj．引起注意的
outdoors ad.在户外,在野外
enchantment n．着魔，喜悦
sunset n.日落(时分)
bite(bit,bitten) v.咬；叮
information n.信息
good adj.好的
undulate v．波动，起伏
empty a.空的
faithful a.忠诚的；如实的
reproduce vt.&vi.繁殖，生殖
huddle v．挤成一堆n．一堆人（杂物）
skeleton n.骨骼，骷髅；骨架
besides prep.除…以外（还有）ad.还有，此外
flaring adj．火焰摇曳的，过份艳丽的
myriad adj．许多，无数
serious a.严肃的,严重的,认真的
disperse vt.(使)分散；驱散
erratic adj.反复无常的古怪的
adoration n．爱慕，崇拜
levitate v．（使）浮于空中
extirpate 消灭,根除
tusk n．（象）长牙
divergence n．分歧，分开
importune v．强求，不断请求
wacky adj．（行为等）古怪的，愚蠢的
ascend v．上升，攀登
wiliness n．狡猾，诡计多端
rope n.绳，索
embody v．(作品等)表达，体现
representation n.描写；陈述；代表
ascent n．上升攀登
motive n.动机，目的
root n.根，根源，起源
multiply vt.乘；使相乘
hauteur n．傲慢
roof n.屋顶，顶部
conducive adj．有助于…的
umbrella n.雨伞
multiple a.复合的；并联的
room n.房间,室;空间;地方
better (good,well的比较级)a.&ad.较好的，更好的；好些；更好地；更，更多n.较好的事物；较优者v.改善；胜过
intemperate adj．无节制的,放纵的
poignant adj．伤心的,尖锐的
puncture n．刺孔,穿孔v．刺穿,刺破
up-to-date a.直到最近的，现代的
cancer n.癌症
taking adj．楚楚动人的
breadth n.宽度，幅度；幅面
pile n.堆
nitpick v．挑剔，吹毛求疵
part-time a.&ad.兼职的；部分时间的（地）
pill n.药丸，药片
burlesque n．讽刺或滑稽的戏剧
automatism n.无意识行动(如梦游)
executor n.遗嘱执行人
Aid n.援助，救护；助手，辅助物vi.援助，救援
flow vi.流动
microcomputer n.微机
order n.顺序
gory adj．满是血的，血污的
Aim n.目的；瞄准vi.(at)目的在于vt.把…瞄准
timid a.胆怯的；羞怯的
pencil-box n.铅笔盒
gore n．凝血，血块
Air n.空气；(复数)神气vt.(使)通风；晾干
resonance n．回响，共鸣
phobia n．恐惧症
reform v./n.改革，改进，改良
remit v．免除，宽恕，汇款
derangement n．精神错乱
malevolent adj．有恶意的，恶毒的
coach n.教练；马车；长途车
homage n．效忠，崇敬
vaccination n．预防注射，种痘
women n.(pl)妇女；女人（woman的复数形式）
pink adj.粉红色的；桃红色的
woman n.政治家
pine n.松树
protection n.保护
pint n.（液量单位）品脱
stagger v．蹒跚，摇晃
interregnum n．无王时期,
honesty n.诚实，正直
syndrome n.综合病征；并存特性
surname n.姓
fraternity n．同行，友爱
redundancy n．过剩，似乎多余其实重要的后备力量
rote n．死
beholder h．目睹者
avail vt.有益于n.效用
question vt.询问n.问题
impoverish v使成赤贫
calibre n．（枪等）口径，（人或事）品质，才能
intellectual n.知识分子a.智力的
interchangeable adj．可互换的
picture n.图片，画片，照片
rose n.玫瑰花
officious adj．爱发命令的，好忠告人的
thousand num.千
resurrect v．使复活，挖出
cantankerous adj．脾气坏的，好争吵的
All a.全部的；非常的ad.完全地，很pron.全部
father-in-law n.岳父；公公
kudos n．荣誉，称赞（单复数同）
cop n.警察(slang俚语)
cow n.母牛，奶牛
quack n．冒充内行之人，庸医
coy adj．腼腆的，忸怩的
bruise n.青肿，伤痕；擦伤
gown n.礼服，长外衣，睡衣
automation n.自动，自动化
rove v．流浪，漂泊
pipe n.管子，输送管
representative n.代表,典型人物
longitude n．经度
salacious adj．好色的，淫荡的．
pigeon n.鸽子
actress n.女演员
pernicious adj．有害的，致命的
rout n．大败，溃败
plenty n.充足，大量
hoyden n．粗野的女孩，野丫头
chicken n.鸡；鸡肉
renowned adj．著名的
effective a.有效的；有影响的
muscle n.肌肉，肌；体力
flux n．变迁，不断的变化
contiguity n．邻近，接壤
resurgence n．复兴，再起
celibate n．adj．独身者，不结婚的．
bachelor n.未婚男子，单身汉
porcine adj．猪的,似猪的
cry n.叫喊；哭声v.喊叫；哭
pineapple n.菠萝
quantitative a.量的；定量的
harness n．马具，v．束以马具，利用
sketch n.略图；速写；概略
hypercritical adj．苛求的，吹毛求疵的（
vertebrate adj．脊椎动物
pity n.怜悯，同情
infatuation n．迷恋
uncertain a.不确定的
unimportant a.不重要的,无意义
beautiful a.美，美丽，美观的
rectify v．改正，调正
pith n．精髓,要点
worker n.工人；工作者
element n.成分；要素；元素
nestling n．尚未离巢的小鸟
mendacious adj不真的，撒谎的
aftermath n．不幸事件之后果，余波
restraint n．克制
cub n．幼兽，年轻无经验的人
cue 暗示,提示,球杆
chortle v．n.开心地笑
footle v．胡闹，浪费（时间）
infringe v．违反，侵害
cup n.茶杯
cur n．杂种狗，坏种
cut v.割；砍；切
starve v.饿死
harass v．烦扰
dread n.畏惧；KBvt.惧怕
irreverent adj．不尊敬的
Sweden n.瑞典
distribute v.分发，分配
worried a.担心的，烦恼的
kitchen n.厨房
shout n.&v.喊，高声呼喊
ankle n.踝，踝关节
flashlight n.手电
think v.想；认为；考虑
ingredient n．成份
librarian n.图书管理员；（西方的）图书馆馆长
absolution n．赦免，免除
reporter n.记者，新闻通讯员
shove v．推挤，猛推
mongrel n．杂种动物，混血儿
torture n．酷刑，折磨，v．对…施以苦刑
mistress n.女主人；夫人
suborn v．收买，贿赂
thing n.东西；(复)物品，用品；事情，事件
litigant n．诉讼当事人
thigh n.股，大腿
apparel n．（精致的）衣服
bereftof 丧失，失去
domestic a.本国的；家庭的
initiate vt.开始，创始；启蒙
glare v.瞪眼,怒目而视,闪耀
prepossessing adj．(个性等)给人好感的
terrestrial adj．地球的，陆地的
shoot (shot,shot)vt.射击，射中，发射n.嫩枝；苗；芽
curvaceous adj．婀娜多姿的，曲线的
stencil n．（用以刻写图案，文字的）模板v．用模板刻写
stability n.稳定，稳定性，巩固
budget n.预算
actual a.实际的；现实的
glass n.玻璃杯,玻璃；(复)眼镜
clatter n.得得声，卡嗒声
dunce n．蠢材，笨人
widely adv.广泛地；广阔地
jacket n.短上衣，夹克衫
incisor n．门牙（
frailty n．脆弱，弱点
assume v.假定，假设
fetid adj．（水等）有恶臭的
polymer n.聚合物，多聚物
memory n.回忆，记忆
intercede v．说好话,代求情
indefinite adj．模糊的，不确定的
disaster n.灾难；祸患
hitch v．搭便车，套住
progeny n．后代,子女
shore n.滨，岸
cursive adj．草书的
discordant adj．不一致的，不调和的
marvel n.奇迹；惊奇vt.惊奇
short a.短的；矮的
colander n.滤器，漏勺
lubricious adj．光滑的，好色的
replete adj．饱满的，塞满的
blemish v．损害，玷污n．瑕疵，缺点
enfranchise v．给予选举权,释放(奴隶)
finance n.资金，财政，财务
fencing n．剑术，击剑法
gruelling adj．繁重而累人的
rewarding adj.值得做的
dogmatic adj．教条的，教义的
regulate v．管制，调整
ninety num.九十
listless adj．无精打采的
facade n．建筑物的正面,外表
extant adj．现存的，传世的
Greece *n.希腊
karate n．空手道
enter vt.进入
gallery n.画廊；美术品陈列室
hostage n．人质
detonate v．（使）爆炸，引爆
creative a.创造性的，创作的
coast n.海岸；海滨
traing n.训练；培养
theNorth(South)Pole （地球的）极，极地北（南）极
impresario n．（剧院或乐团等）经理人，主办者（
introspection n．内省，反省
bright a.明亮的；聪明的
benefactor n．行善者，捐助者
frivolous adj．轻泛的，轻佻的
pretext n．借口
assure vt.使确信；向…保证
gracious a.有礼貌的；仁慈的
performer n.表演者，执行者
wallet n.(放钱,证件等的)皮夹
dehumanize v．使失掉人性
precarious adj．危险的
capacitor n.电容器
evince v.表明,表示
fetch vt.（去）取（物）来，（去）带（人）来
barely ad.仅仅，勉强
cornucopia n．象征丰收的羊角（羊角装饰器内装满花、果、谷物等以示富饶）
prevalent adj．普遍的,流行的
cytology n．细胞学
oasis n．绿州
endorsement n．背书,赞同
compact adj.结实的，简洁的
dad n.（口）爸爸，爹爹
possession n.所有，拥有；财产，所有物
dam n.水坝，堰堤
showy adj．鲜艳的，显眼的
majesty n.威严，尊严；陛下
day n.（一）天，（一）日；白天
depredation n．劫掠，蹂躏
poseur n．装模作样的人
maverick n．独行者，想法与众不同的人
impressionable adj．易受影响的
statesman n.政治家
nimble adj．敏捷的，灵活的
loudspeaker n.扬声器，喇叭
fervor n．热诚，热心
critical a.决定性的；批评的
guarded adj．谨慎的，提防的
inducement n．引诱物
equitable adj．公平的，公正的
specimen n．范例，样品，标本
vituperate v．痛斥，辱骂
exotic adj.珍奇的,来自异国的
psychic adj．精神的,心灵的
hegemony n．霸权，领导权
introduction n.引进，介绍
revenge v．n．报复，报仇
distill vt.蒸馏，用蒸馏法提取；吸取，提炼
ineluctable adj．难免的，不能逃避的
crescendo n（音乐）渐强，高潮
concentration n.集中；专注；浓缩
heavily ad.重地，大量地
third num.第三
further ad.更远地a.更远的
siren n．汽笛，警报器
underline v.在…下划线
instigate v．发起，煽动
underling n．下属，手下
parliament n.议会，国会
retrieval n．取回，补偿
dew n.露，露水
crisp a.脆的；卷曲的
carefully adv.小心地；仔细地
shock vt.使震惊
impact n.影响，作用；冲击
excogitate v.想出,设计(计划,办法)
attitude n.态度，看法
average a.平均；普通的n.平均数
treatment n.治疗,疗法
compare vt.比较，对照
embryonic adj．胚胎的，萌芽期的
journal n.日报，杂志；日志
interstice n．细裂缝,空隙
unlike prep.不像，和…不同
volcano n.火山
override v．不理会，推翻
so-called adj.所谓的
business n.（本分）工作，职业；职责；生意，交易；事业
partly ad.部分地,在一定程度上
chestnut n.栗子；栗树；栗色
grumble v．喃喃诉苦，发怨言
premeditated adj．预谋的,事先计划的
borrow v.（向别人）借用；借
maximum a.&n.最大量(的)；最大限度(的)
desert n.沙漠vt.舍弃；遗弃
quartet n．四重奏，四重唱
did v.&aux.(do的过去式)做，干
quarter n.四分之一，一刻钟
die v.死
fragrant a.香的，芳香的
dig v.挖；掘
din n．喧闹声，嘈杂声
turgid adj．浮肿的，浮夸的
dim adj.微暗的；昏暗的
dip vt.浸，蘸；把…放入又取出
besiege v．围攻，困扰
desuetude n．废止，不用
poignancy n．辛酸事,尖锐
limestone n.石灰石
businessman n.商人（男）；男企业家
impair v．损害，使弱
inconceivable adj．难以想象的，不可能的（
stray vi.迷路a.迷路的
static adj．静态的，呆板的
journey n.旅行，路程
finally ad.最后；不可更改的
strap n.带子vt.捆扎
brown n.褐色，棕色a.褐色的，棕色的
publicly ad.当众；公开地
straw n.稻草
aromatic adj．芳香的
hideous adj．讨厌的，丑恶的
mendacity n．虚假
acceptance n.接受，验收；承认
repatriate v．（自异国）遣返
vertigo n．眩晕（
impermeable adj．不可渗透的，不透水的
emote v激动地表达感情
expiration n.期满,终止
inoculate v．预防注射
palate n．上腭，口味，爱好
distract vt.分散(心思)；打扰
nerveless adj．无力的，无勇气的
virtual a.实际上的，实质上的
mace n．权杖
back ad.回（原处）；向后a.后面的n.背后，后部；背
apposite adj．适当的，恰切的．
guzzle v．大吃大喝
foppish adj．浮华的，俗丽的
pound n.磅；英镑
ferry n.渡船
company n.公司
shoal n．浅滩、浅水处，一群（鱼）
drollery n．滑稽
erudite adj．博学的，饱学的
relax v.（使）放松，轻松
relay n.接力，接替人，中转v.接替，补充；转运
length n.长，长度，段，节
contumelious adj．无礼的，傲慢的
intestinal adj．肠的
biochemistry n.生物化学
baby n.婴儿；幼畜
fiendish adj．极凶恶的
indented adj．锯齿状的
relic n．遗物，遗迹
construct v.构筑；建造，建设
attempt vt.试图，尝试
thick a.厚的
balance n.平衡
kilometre(kilometer) n.公里；千米
tabletennis n.乒乓球
kindness n.仁慈；善良
immaculate adj．洁净的，无瑕的
shopassistant (英)售货员
conciliation n．安慰，安抚
statue n.法令，法规，章程
being n.物；生物；人
dynamo n．发电机
physicist n.物理学家
inorganic a.无生物的；无机的
debunk v．揭穿真相，暴露
substratum n．基础，根据
invalid adj．无效力的
curse n.诅咒，咒骂；天谴
dog n.狗
status n.法律地位（身份）
imperious adj．傲慢的，专横的
diffusion n．传播，散布
don v．穿衣，戴帽
thief n.窃贼,小偷
curve n.曲线；弯vt.弄弯
extraneous adj．外来的，无关的
dot n.点，小点，圆点
chunky adj．（人或动物）矮胖的
stream n.小河；溪流
condemnation n．谴责，定罪
Yorkshire n.约克郡(英国)
brewery n.啤酒厂（公司）
nurse n.护士；保育员
coalition n.结合，联合
pristine adj．太古的,纯洁的,新鲜的
crime n.（法律上的）罪，犯罪
alcove n．凹室，壁龛
pavement n.(英)人行道
cigarette n.纸烟，香烟
ogle v．送秋波，n．媚眼
irregularity n.不规则；不整齐
zealous adj．热心的，一心一意的
trenchant adj．一针见血的，精辟的
Spain n.西班牙
computation n．计算
inexpedient adj．不适当的，不明智的
discreet adj．言行谨慎的，小心的
mail n.邮政,邮递v.(美)邮寄
bait n.诱饵,v.逗弄
main a.主要的
sadness n.悲哀，忧伤
maim v．使残废
evict v.(依法)驱逐
arrangement n.安排，布置
revenue n．收入，国家的税收
strip v．剥去，n．狭长的一片
bilingual adj．（能说）两种语言的
credit n.信用；信赖；信誉
maid n.女仆；侍女
intensive a.加强的；精耕细作的
fraudulent adj．欺骗的，不诚实的
brook v．容忍，忍受
travesty n．v．歪曲，曲解
bearing n.支承；忍受；方位
broom n.扫帚
wallow v．n．（猪等）在泥水中打滚，沉溺于
dry v.使…干；弄干；擦干a.干的；干燥的
embroil v．牵连,卷入纠纷
streak n．线条，条纹，v．加线条
brood n．一窝幼鸟v．孵蛋，闷想
storehouse n．宝库，见识广博之人
undesirable adj．令人不悦的，讨厌的
wallop v．n．重击，猛打
compass n.罗盘，指南针
antidote n．解毒药
demure adj．严肃的，矜持的
presage n．预感,不祥感v．预示
theArcticOcean 北冰洋
fidelity n．忠实，忠诚
ball n.球n.舞会
bale n.大包裹,灾祸,不幸
bald adj.秃头的
oratorio n．清唱剧
make (made,made)vt.制造,做;使得n.样式；制造
fulfil vt.履行；满足；完成
ingratitude n．忘恩负义
reprehensible adj．应受谴责的
threnody n．挽歌，哀歌
hummock n．小园丘
noisome adj．恶臭的，令人不快的
spindly adj．细长的，纤弱的
intensity n.强烈，剧烈；强度
avowal n.公开承认
due a.预期的；约定的
bake v.烤；烘（面包）
pumpkin n.南瓜
invention n.发明，创造
devoid adj．空的，缺少的
taunt v．嘲笑，讥笑
necropolis n．公墓
condolewith v．向…吊慰
tamper v．窜改，玩弄
psychological a.心理的，心理学的
commit v.犯（罪，错），自杀
incorrigible adj．积习难改的，不可救药的
bank n.（河海湖的）岸，堤n.银行
dejection n．沮丧，颓丧
scurry v．急跑，疾行
bang int.砰
meaning n.意思，含意
bane n.祸根
magnetic a.磁的，有吸引力的
band n.乐队
orbit n.（天体等的）运行轨道
salutary adj．有益的，有益健康的
equivalence n．相等，等值
intersperse v．散布,点缀
shortcoming n.缺点，短处
allied a.联合的；联姻的
balm n.香油,药膏
celerity n．快速，迅速
prevision n．先见,预感
labor n.(labour)工作，劳动；劳力v.劳动，苦干
Christmascard 圣诞卡
furtive adj．偷偷的，秘密的
opalescent adj．像蛋白石的，发乳白光的
U.S.A. (USA(缩)“＝”theUnitedStatesofAmerica)n.美国（美利坚合众国）
sober adj．清醒的，庄重的
male a.男（性）的；雄的
ministry n.（政府的）部
mackintosh n雨衣，防水胶布
spinster n．未婚女人，老处女
expel v.排出,开除
invective n．猛烈抨击，痛骂
latitude n．言行自由，纬度
uproar n.骚动，扰乱；喧嚣
remember v.记得，想起
profane v．亵渎,玷污
partition n．瓜分，隔开
relationship n.关系
crayon n蜡笔；蜡笔画
twinkle vi.闪烁，闪耀
expression n.表达；词句；表示，说法；表情
atrocity n.残暴,暴行
childhood n.幼年时代，童年
star n.星，恒星
respecter n．趋炎附势者，尊敬者
many (more,most)pron.许多人（或物）a.许多的
entrepreneur n．企业家，创业人
stay n.&vi.停留，逗留，呆
puissant adj．强有力的,强大的
dedicate vt.奉献；献身
dye vt.染n.染料；染色
stab n．v．刺伤，戳
inspire vt.鼓舞；激励
impart v．传授，告知
progress n.进步,上进vi.进展,进行
Australia *n.澳洲；澳大利亚
devote vt.把…奉献,把…专用（于）
seller n.卖者；售货员
barb n.(鱼钩的)倒钩
delectable adj．赏心悦目的，愉悦的
treat vt.对待，看待
abortion v.人工流产，堕胎
wholly ad.完全地，全部
Europe* n.欧洲
approximate adj．大约的，估计的
hexagon n．六角形，六边形
itinerant adj．巡回的，流动的
affectation n．做作，虚假
nominate vt.提名，推荐；任命
emboss v．加浮雕花纹于,使凸出
tread vi.&vt.踩，踏，践踏
imperil v．使陷于危险中，危及
barn n.谷仓
stationary adj．静止的，不动的
dynasty n.王朝,朝代
bark v.狗叫n.狗叫声
uniformly ad.相同地；一贯
speck n．小点，斑点，少量
ellipse n.椭圆(形)
bare a.裸露的，光秃秃的
Liverpool n.利物浦（英国港口城市）
disarray n．混乱，漫无秩序
etymology n.语源学
peccadillo n．小过失
starting/finishing l.起跑/终点线
modification n．修改，修饰
duress n．协迫
discrete adj．个别的，不连续的
coefficient n.协同因素；系数，率
farewell int.再会n.告别
knock n.&v.敲；打；击
mast n．船桅，旗杆
mass n.众多;大量;（复）群众
contemptible adj．令人轻视的
speed n.速度v.（使）加速
auction n.拍卖
apple n.苹果
admit vt.承认，准许（入场，入学，入会）
common a.普通，一般；共有的
interest n.兴趣，趣味;利息
China *n.中国
themselves pron.他/她/它们自己
